#スプレッドシートで計算
#tone:5001 start:500nm end:3950nm delta_n:0.5
#thickness,hex_color_code
1165.85,153AD7
1166.54,123BD7
1167.23,103BD7
1167.92,0D3CD8
1168.61,093DD8
1169.3,053DD8
1169.99,013ED9
1170.68,003FD9
1171.37,003FD9
1172.06,0040D9
1172.75,0041DA
1173.44,0041DA
1174.13,0042DA
1174.82,0043DB
1175.51,0043DB
1176.2,0044DB
1176.89,0045DC
1177.58,0045DC
1178.27,0046DC
1178.96,0047DD
1179.65,0047DD
1180.34,0048DD
1181.03,0048DE
1181.72,0049DE
1182.41,004ADE
1183.1,004ADE
1183.79,004BDF
1184.48,004BDF
1185.17,004CDF
1185.86,004DE0
1186.55,004DE0
1187.24,004EE0
1187.93,004EE1
1188.62,004FE1
1189.31,0050E1
1190,0050E1
1190.69,0051E2
1191.38,0051E2
1192.07,0052E2
1192.76,0053E3
1193.45,0053E3
1194.14,0054E3
1194.83,0054E3
1195.52,0055E4
1196.21,0056E4
1196.9,0056E4
1197.59,0057E4
1198.28,0057E5
1198.97,0058E5
1199.66,0058E5
1200.35,0059E6
1201.04,005AE6
1201.73,005AE6
1202.42,005BE6
1203.11,005BE7
1203.8,005CE7
1204.49,005CE7
1205.18,005DE7
1205.87,005DE8
1206.56,005EE8
1207.25,005FE8
1207.94,005FE8
1208.63,0060E9
1209.32,0060E9
1210.01,0061E9
1210.7,0061E9
1211.39,0062EA
1212.08,0062EA
1212.77,0063EA
1213.46,0064EA
1214.15,0064EB
1214.84,0065EB
1215.53,0065EB
1216.22,0066EB
1216.91,0066EC
1217.6,0067EC
1218.29,0067EC
1218.98,0068EC
1219.67,0068ED
1220.36,0069ED
1221.05,0069ED
1221.74,006AED
1222.43,006AEE
1223.12,006BEE
1223.81,006CEE
1224.5,006CEE
1225.19,006DEE
1225.88,006DEF
1226.57,006EEF
1227.26,006EEF
1227.95,006FEF
1228.64,006FF0
1229.33,0070F0
1230.02,0070F0
1230.71,0071F0
1231.4,0071F0
1232.09,0072F1
1232.78,0072F1
1233.47,0073F1
1234.16,0073F1
1234.85,0074F1
1235.54,0074F2
1236.23,0075F2
1236.92,0075F2
1237.61,0076F2
1238.3,0076F2
1238.99,0077F3
1239.68,0077F3
1240.37,0078F3
1241.06,0078F3
1241.75,0079F3
1242.44,0079F4
1243.13,007AF4
1243.82,007AF4
1244.51,007BF4
1245.2,007BF4
1245.89,007CF5
1246.58,007CF5
1247.27,007DF5
1247.96,007DF5
1248.65,007EF5
1249.34,007EF6
1250.03,007FF6
1250.72,007FF6
1251.41,0080F6
1252.1,0080F6
1252.79,0081F6
1253.48,0081F7
1254.17,0081F7
1254.86,0082F7
1255.55,0082F7
1256.24,0083F7
1256.93,0083F7
1257.62,0084F8
1258.31,0084F8
1259,0085F8
1259.69,0085F8
1260.38,0086F8
1261.07,0086F8
1261.76,0087F9
1262.45,0087F9
1263.14,0088F9
1263.83,0088F9
1264.52,0089F9
1265.21,0089F9
1265.9,0089F9
1266.59,008AFA
1267.28,008AFA
1267.97,008BFA
1268.66,008BFA
1269.35,008CFA
1270.04,008CFA
1270.73,008DFA
1271.42,008DFB
1272.11,008EFB
1272.8,008EFB
1273.49,008EFB
1274.18,008FFB
1274.87,008FFB
1275.56,0090FB
1276.25,0090FB
1276.94,0091FC
1277.63,0091FC
1278.32,0092FC
1279.01,0092FC
1279.7,0092FC
1280.39,0093FC
1281.08,0093FC
1281.77,0094FC
1282.46,0094FD
1283.15,0095FD
1283.84,0095FD
1284.53,0096FD
1285.22,0096FD
1285.91,0096FD
1286.6,0097FD
1287.29,0097FD
1287.98,0098FD
1288.67,0098FE
1289.36,0099FE
1290.05,0099FE
1290.74,0099FE
1291.43,009AFE
1292.12,009AFE
1292.81,009BFE
1293.5,009BFE
1294.19,009CFE
1294.88,009CFE
1295.57,009CFF
1296.26,009DFF
1296.95,009DFF
1297.64,009EFF
1298.33,009EFF
1299.02,009FFF
1299.71,009FFF
1300.4,009FFF
1301.09,00A0FF
1301.78,00A0FF
1302.47,00A1FF
1303.16,00A1FF
1303.85,00A1FF
1304.54,00A2FF
1305.23,00A2FF
1305.92,00A3FF
1306.61,00A3FF
1307.3,00A3FF
1307.99,00A4FF
1308.68,00A4FF
1309.37,00A5FF
1310.06,00A5FF
1310.75,00A6FF
1311.44,00A6FF
1312.13,00A6FF
1312.82,00A7FF
1313.51,00A7FF
1314.2,00A8FF
1314.89,00A8FF
1315.58,00A8FF
1316.27,00A9FF
1316.96,00A9FF
1317.65,00AAFF
1318.34,00AAFF
1319.03,00AAFF
1319.72,00ABFF
1320.41,00ABFF
1321.1,00ABFF
1321.79,00ACFF
1322.48,00ACFF
1323.17,00ADFF
1323.86,00ADFF
1324.55,00ADFF
1325.24,00AEFF
1325.93,00AEFF
1326.62,00AFFF
1327.31,00AFFF
1328,00AFFF
1328.69,00B0FF
1329.38,00B0FF
1330.07,00B0FF
1330.76,00B1FF
1331.45,00B1FF
1332.14,00B2FF
1332.83,00B2FF
1333.52,00B2FF
1334.21,00B3FF
1334.9,00B3FF
1335.59,00B3FF
1336.28,00B4FF
1336.97,00B4FF
1337.66,00B5FF
1338.35,00B5FF
1339.04,00B5FF
1339.73,00B6FF
1340.42,00B6FF
1341.11,00B6FF
1341.8,00B7FF
1342.49,00B7FF
1343.18,00B8FF
1343.87,00B8FF
1344.56,00B8FF
1345.25,00B9FF
1345.94,00B9FF
1346.63,00B9FF
1347.32,00BAFF
1348.01,00BAFF
1348.7,00BAFF
1349.39,00BBFF
1350.08,00BBFF
1350.77,00BBFF
1351.46,00BCFF
1352.15,00BCFF
1352.84,00BDFF
1353.53,00BDFF
1354.22,00BDFF
1354.91,00BEFF
1355.6,00BEFF
1356.29,00BEFF
1356.98,00BFFF
1357.67,00BFFF
1358.36,00BFFF
1359.05,00C0FF
1359.74,00C0FF
1360.43,00C0FF
1361.12,00C1FF
1361.81,00C1FF
1362.5,00C1FF
1363.19,00C2FF
1363.88,00C2FF
1364.57,00C2FF
1365.26,00C3FF
1365.95,00C3FF
1366.64,00C3FF
1367.33,00C4FF
1368.02,00C4FF
1368.71,00C4FF
1369.4,00C5FF
1370.09,00C5FF
1370.78,00C5FF
1371.47,00C6FF
1372.16,00C6FF
1372.85,00C6FF
1373.54,00C7FF
1374.23,00C7FF
1374.92,00C7FF
1375.61,00C8FF
1376.3,00C8FF
1376.99,00C8FF
1377.68,00C9FF
1378.37,00C9FF
1379.06,00C9FF
1379.75,00CAFF
1380.44,00CAFF
1381.13,00CAFF
1381.82,00CAFF
1382.51,00CBFF
1383.2,00CBFF
1383.89,00CBFF
1384.58,00CCFF
1385.27,00CCFF
1385.96,00CCFF
1386.65,00CDFF
1387.34,00CDFF
1388.03,00CDFF
1388.72,00CEFF
1389.41,00CEFF
1390.1,00CEFF
1390.79,00CFFF
1391.48,00CFFE
1392.17,00CFFE
1392.86,00CFFE
1393.55,00D0FE
1394.24,00D0FE
1394.93,00D0FE
1395.62,00D1FE
1396.31,00D1FE
1397,00D1FE
1397.69,00D1FE
1398.38,00D2FE
1399.07,00D2FD
1399.76,00D2FD
1400.45,00D3FD
1401.14,00D3FD
1401.83,00D3FD
1402.52,00D4FD
1403.21,00D4FD
1403.9,00D4FD
1404.59,00D4FD
1405.28,00D5FC
1405.97,00D5FC
1406.66,00D5FC
1407.35,00D6FC
1408.04,02D6FC
1408.73,06D6FC
1409.42,0AD6FC
1410.11,0ED7FC
1410.8,11D7FB
1411.49,14D7FB
1412.18,16D7FB
1412.87,19D8FB
1413.56,1BD8FB
1414.25,1DD8FB
1414.94,1FD9FB
1415.63,20D9FA
1416.32,22D9FA
1417.01,24D9FA
1417.7,25DAFA
1418.39,27DAFA
1419.08,28DAFA
1419.77,2ADAFA
1420.46,2BDBF9
1421.15,2CDBF9
1421.84,2EDBF9
1422.53,2FDCF9
1423.22,30DCF9
1423.91,31DCF9
1424.6,32DCF9
1425.29,34DDF8
1425.98,35DDF8
1426.67,36DDF8
1427.36,37DDF8
1428.05,38DEF8
1428.74,39DEF8
1429.43,3ADEF7
1430.12,3BDEF7
1430.81,3CDFF7
